Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,128.809998,129.25,128.149994,129.059998,2655500,129.059998
2014-05-02,129.449997,129.729996,127.82,128.089996,4276700,128.089996
2014-05-05,127.190002,127.190002,126.080002,126.610001,3486100,126.610001
2014-05-06,126.129997,126.290001,124.059998,124.669998,5381100,124.669998
2014-05-07,125.400002,127.529999,125.32,127.449997,3301400,127.449997
2014-05-08,127.230003,127.489998,126.330002,126.669998,2773300,126.669998
2014-05-09,126.25,127.370003,125.849998,127.339996,2935600,127.339996
2014-05-12,127.870003,128.240005,126.889999,127.290001,3406900,127.290001
2014-05-13,127.690002,127.919998,127.059998,127.889999,2127500,127.889999
2014-05-14,127.800003,128,127.510002,127.529999,2685300,127.529999
2014-05-15,127.300003,127.440002,126,126.360001,3206100,126.360001
2014-05-16,126.410004,126.919998,125.660004,126.860001,2897800,126.860001
2014-05-19,126.769997,127.209999,126.110001,127.129997,2242400,127.129997
2014-05-20,126.919998,126.940002,125.699997,126.059998,2292300,126.059998
2014-05-21,126.5,126.940002,126.220001,126.660004,1917000,126.660004
2014-05-22,126.949997,127.150002,126.529999,126.980003,1546600,126.980003
2014-05-23,127.220001,127.32,126.309998,126.800003,1807700,126.800003
2014-05-27,127.410004,127.75,127.25,127.519997,2251600,127.519997
2014-05-28,127.43,127.940002,127.260002,127.459999,2211300,127.459999
2014-05-29,127.419998,128.199997,127.099998,128.110001,2028900,128.110001
2014-05-30,127.669998,128.5,127.620003,128.339996,2916700,128.339996
2014-06-02,128.279999,128.75,127.370003,127.879997,2007200,127.879997
2014-06-03,127.290001,127.68,126.610001,126.93,2445000,126.93
2014-06-04,127,127.610001,126.790001,127.230003,1760000,127.230003
2014-06-05,127.559998,128.220001,127.110001,128.199997,2165000,128.199997
2014-06-06,128.199997,128.649994,128.080002,128.649994,2241500,128.649994
2014-06-09,128.330002,128.619995,127.57,127.989998,2385200,127.989998
2014-06-10,127.599998,128.300003,127.580002,128.25,2174200,128.25
2014-06-11,127.860001,128.479996,127.860001,128.220001,2422300,128.220001
2014-06-12,128.460007,128.589996,126.93,127.279999,2408700,127.279999
2014-06-13,127.269997,127.510002,125.5,126.540001,3397900,126.540001
2014-06-16,125.949997,126.339996,125.709999,126.150002,2545800,126.150002
2014-06-17,126.050003,126.349998,125.599998,126.029999,2583600,126.029999
2014-06-18,125.940002,127.349998,125.440002,127.169998,2925400,127.169998
2014-06-19,127.559998,127.57,126.559998,127.25,2954200,127.25
2014-06-20,127.43,128.100006,126.5,126.739998,6161300,126.739998
2014-06-23,126.800003,126.980003,126.300003,126.669998,2768500,126.669998
2014-06-24,126.349998,127.370003,126.349998,126.779999,2862500,126.779999
2014-06-25,126.879997,127.349998,126.489998,127.129997,2531600,127.129997
2014-06-26,127.199997,127.279999,126.059998,127.099998,2148300,127.099998
2014-06-27,126.830002,127.489998,126.629997,127.32,3125300,127.32
2014-06-30,127.110001,127.129997,126.379997,126.559998,2732800,126.559998
2014-07-01,126.720001,127.639999,126.660004,127.239998,2885300,127.239998
2014-07-02,127.080002,127.730003,126.830002,127.730003,2599700,127.730003
2014-07-03,127.910004,129.389999,127.809998,129.300003,2511400,129.300003
2014-07-07,129.149994,129.149994,128.169998,128.699997,2875600,128.699997
2014-07-08,128.240005,129.089996,128.169998,128.220001,3052400,128.220001
2014-07-09,128.490005,128.869995,128.309998,128.75,1923800,128.75
2014-07-10,128,128.720001,127.610001,128.449997,2788600,128.449997
2014-07-11,128.300003,128.720001,127.93,128.630005,1819800,128.630005
2014-07-14,129,129.279999,128.679993,128.979996,1541600,128.979996
2014-07-15,128.679993,129.169998,128,128.490005,2931200,128.490005
2014-07-16,128.660004,128.75,127.879997,128.110001,2297600,128.110001
2014-07-17,127.919998,128.119995,126.400002,126.519997,2834500,126.519997
2014-07-18,126.910004,128.449997,126.879997,128.279999,3563500,128.279999
2014-07-21,127.919998,128.75,127.620003,128.580002,1787200,128.580002
2014-07-22,129,129,128.229996,128.419998,1786200,128.419998
2014-07-23,128.240005,128.580002,128.050003,128.130005,1527600,128.130005
2014-07-24,128.389999,128.679993,128.059998,128.350006,2241300,128.350006
2014-07-25,128.020004,128.169998,127.400002,127.550003,1807700,127.550003
2014-07-28,127.550003,128.449997,126.629997,128.369995,1966900,128.369995
2014-07-29,128.259995,128.660004,127.360001,127.360001,2346600,127.360001
2014-07-30,127.510002,128.419998,126.830002,127.739998,2066400,127.739998
2014-07-31,127.239998,127.760002,125.370003,125.43,3630600,125.43
2014-08-01,125,126.949997,122.720001,125.830002,3947900,125.830002
